zipcode,metro,composite_score,letter_grade
90603,Los Angeles,64.1141334091678,C
90604,Los Angeles,61.900568419274876,C
90605,Los Angeles,63.55695488170201,C
90606,Los Angeles,52.524801321680556,C
90623,Los Angeles,64.97394681939865,C
90630,Los Angeles,54.54047746357549,C
90638,Los Angeles,63.429876810000806,C
90640,Los Angeles,56.28562622034651,C
90650,Los Angeles,63.156080196475955,C
90660,Los Angeles,58.082171375476506,C
90670,Los Angeles,37.669954683901466,D
90701,Los Angeles,72.16738831645108,B
90703,Los Angeles,67.41264882234982,B
90704,Los Angeles,71.36579869619055,B
90706,Los Angeles,61.77646759919997,C
90710,Los Angeles,45.46488028829736,D
90712,Los Angeles,65.39213545884373,B
90713,Los Angeles,63.464631273784335,C
90717,Los Angeles,61.545712195839556,C
90723,Los Angeles,55.863989448019694,C
90731,Los Angeles,62.68199603699213,C
90732,Los Angeles,65.48239440177454,B
90740,Los Angeles,42.58680542140479,D
90744,Los Angeles,58.36145027846867,C
90745,Los Angeles,60.45163991338139,C
90746,Los Angeles,42.21232268721284,D
90755,Los Angeles,60.60762235761877,C
90802,Los Angeles,67.81510533107638,B
90803,Los Angeles,62.21961600413629,C
90805,Los Angeles,65.55088979360323,B
90806,Los Angeles,62.25242405358613,C
90807,Los Angeles,67.15441932175668,B
90808,Los Angeles,59.051045056746204,C
90810,Los Angeles,63.12964365925981,C
90813,Los Angeles,70.11293764867514,B
90815,Los Angeles,60.066829684017875,C
90822,Los Angeles,47.77284470062224,D
91001,Los Angeles,57.19120521678174,C
91006,Los Angeles,57.29015382811747,C
91007,Los Angeles,68.21500542395336,B
91010,Los Angeles,52.16992049081468,C
91011,Los Angeles,57.75083161708953,C
91016,Los Angeles,62.14827008355305,C
91020,Los Angeles,71.78854147134317,B
91024,Los Angeles,42.718060416694854,D
91030,Los Angeles,64.41485208070758,C
91040,Los Angeles,49.71430026474981,D
91042,Los Angeles,51.64720977130234,C
91046,Los Angeles,53.008693757226006,C
91101,Los Angeles,76.03965903029564,B
91103,Los Angeles,51.5180759266115,C
91105,Los Angeles,60.09969226887199,C
91106,Los Angeles,69.80768739021666,B
91107,Los Angeles,63.29396170538915,C
91201,Los Angeles,66.4377283990233,B
91202,Los Angeles,68.64306789798174,B
91203,Los Angeles,74.5743104285169,B
91204,Los Angeles,73.05631612467874,B
91205,Los Angeles,68.29862994910386,B
91206,Los Angeles,64.318976424315,C
91207,Los Angeles,68.8834506833191,B
91324,Los Angeles,64.22594934625118,C
91210,Los Angeles,77.2414936132231,B
91214,Los Angeles,61.42788060463579,C
91301,Los Angeles,54.454853456827976,C
91302,Los Angeles,53.00703375090511,C
91303,Los Angeles,73.45390712801375,B
91304,Los Angeles,57.78291668590029,C
91306,Los Angeles,67.22697946004018,B
91307,Los Angeles,64.01484004079376,C
91311,Los Angeles,51.79433250150896,C
91316,Los Angeles,70.99424390398633,B
91321,Los Angeles,52.26472771946008,C
91326,Los Angeles,53.93244289258314,C
91330,Los Angeles,47.52197601863587,D
91331,Los Angeles,62.08345487250416,C
91335,Los Angeles,58.39163437619022,C
91340,Los Angeles,60.80960540083629,C
91342,Los Angeles,47.530609776476936,D
91343,Los Angeles,62.74148320478339,C
91344,Los Angeles,54.530647155821796,C
91345,Los Angeles,53.55970323546555,C
91350,Los Angeles,49.49914501451151,D
91351,Los Angeles,53.71734253533516,C
91354,Los Angeles,59.20376398319351,C
91355,Los Angeles,62.34650298093453,C
91356,Los Angeles,66.1666432885333,B
91361,Los Angeles,51.55671428780707,C
91362,Los Angeles,55.580274657715535,C
91364,Los Angeles,60.17018725564061,C
91367,Los Angeles,54.25356879764176,C
91381,Los Angeles,51.28848804634653,C
91384,Los Angeles,47.0638592642487,D
91387,Los Angeles,48.65769163481866,D
91390,Los Angeles,42.1970860053246,D
91402,Los Angeles,69.1538305365251,B
91403,Los Angeles,59.965415263920974,C
91405,Los Angeles,70.63442529400292,B
91406,Los Angeles,57.75954104636412,C
91411,Los Angeles,62.714965861902755,C
91423,Los Angeles,63.99629125946153,C
91436,Los Angeles,65.39135951491548,B
91501,Los Angeles,57.31903110788179,C
